task_id,patient_id,phase,z_index,slice_id,batch_index,branch_index,test_fraction,paper_lambda,balanced_entropy,weight
23,A1K2P5,ED,0,A1K2P5_ED_slice000,1,0,0.0,1.0,3.680889867517684e-17,0.18629330396652222
23,A1K2P5,ED,0,A1K2P5_ED_slice000,1,1,0.2,0.8,1.8156626026067533e-17,0.18629330396652222
23,A1K2P5,ED,0,A1K2P5_ED_slice000,1,2,0.4,0.6,3.6283116208058535e-17,0.18629330396652222
23,A1K2P5,ED,0,A1K2P5_ED_slice000,1,3,0.6,0.4,1.065118858997044e-13,0.18629330396652222
23,A1K2P5,ED,0,A1K2P5_ED_slice000,1,4,0.8,0.19999999999999996,1.488857814813116e-09,0.18629330396652222
23,A1K2P5,ED,0,A1K2P5_ED_slice000,1,5,1.0,0.0,0.1650880128145218,0.06853348761796951
23,A1K2P5,ED,1,A1K2P5_ED_slice001,2,0,0.0,1.0,1.9576935491000085e-14,0.1862947940826416
23,A1K2P5,ED,1,A1K2P5_ED_slice001,2,1,0.2,0.8,1.7491642018813668e-14,0.1862947940826416
23,A1K2P5,ED,1,A1K2P5_ED_slice001,2,2,0.4,0.6,2.8599294969993555e-14,0.1862947940826416
23,A1K2P5,ED,1,A1K2P5_ED_slice001,2,3,0.6,0.4,6.775741128112536e-14,0.18629473447799683
23,A1K2P5,ED,1,A1K2P5_ED_slice001,2,4,0.8,0.19999999999999996,9.002240793087868e-12,0.18628685176372528
23,A1K2P5,ED,1,A1K2P5_ED_slice001,2,5,1.0,0.0,2.107352798930151e-07,0.06853403151035309
23,A1K2P5,ED,2,A1K2P5_ED_slice002,3,0,0.0,1.0,0.04456009343266487,0.09703898429870605
23,A1K2P5,ED,2,A1K2P5_ED_slice002,3,1,0.2,0.8,0.04352378472685814,0.11176493018865585
23,A1K2P5,ED,2,A1K2P5_ED_slice002,3,2,0.4,0.6,0.04506199061870575,0.09062106907367706
23,A1K2P5,ED,2,A1K2P5_ED_slice002,3,3,0.6,0.4,0.03772711381316185,0.24633356928825378
23,A1K2P5,ED,2,A1K2P5_ED_slice002,3,4,0.8,0.19999999999999996,0.03850793093442917,0.22145822644233704
23,A1K2P5,ED,2,A1K2P5_ED_slice002,3,5,1.0,0.0,0.038142114877700806,0.23278316855430603
23,A1K2P5,ED,3,A1K2P5_ED_slice003,4,0,0.0,1.0,0.009984195232391357,0.0809694156050682
23,A1K2P5,ED,3,A1K2P5_ED_slice003,4,1,0.2,0.8,0.008281132206320763,0.1242612898349762
23,A1K2P5,ED,3,A1K2P5_ED_slice003,4,2,0.4,0.6,0.0067977444268763065,0.18045005202293396
23,A1K2P5,ED,3,A1K2P5_ED_slice003,4,3,0.6,0.4,0.00645293015986681,0.1967972069978714
23,A1K2P5,ED,3,A1K2P5_ED_slice003,4,4,0.8,0.19999999999999996,0.00600800383836031,0.22009767591953278
23,A1K2P5,ED,3,A1K2P5_ED_slice003,4,5,1.0,0.0,0.0064402795396745205,0.19742435216903687
23,A1K2P5,ED,4,A1K2P5_ED_slice004,5,0,0.0,1.0,0.00857660360634327,0.07735278457403183
23,A1K2P5,ED,4,A1K2P5_ED_slice004,5,1,0.2,0.8,0.006486599799245596,0.1794048696756363
23,A1K2P5,ED,4,A1K2P5_ED_slice004,5,2,0.4,0.6,0.006634120363742113,0.16906192898750305
23,A1K2P5,ED,4,A1K2P5_ED_slice004,5,3,0.6,0.4,0.006307745352387428,0.1927969604730606
23,A1K2P5,ED,4,A1K2P5_ED_slice004,5,4,0.8,0.19999999999999996,0.006092255935072899,0.21026664972305298
23,A1K2P5,ED,4,A1K2P5_ED_slice004,5,5,1.0,0.0,0.006604107096791267,0.17111675441265106
23,A1K2P5,ED,5,A1K2P5_ED_slice005,6,0,0.0,1.0,0.026299623772501945,0.08435144275426865
23,A1K2P5,ED,5,A1K2P5_ED_slice005,6,1,0.2,0.8,0.02135404385626316,0.12143493443727493
23,A1K2P5,ED,5,A1K2P5_ED_slice005,6,2,0.4,0.6,0.018165146932005882,0.15359729528427124
23,A1K2P5,ED,5,A1K2P5_ED_slice005,6,3,0.6,0.4,0.015108244493603706,0.19239771366119385
23,A1K2P5,ED,5,A1K2P5_ED_slice005,6,4,0.8,0.19999999999999996,0.013355015777051449,0.21892763674259186
23,A1K2P5,ED,5,A1K2P5_ED_slice005,6,5,1.0,0.0,0.012727288529276848,0.22929096221923828
23,A1K2P5,ED,6,A1K2P5_ED_slice006,7,0,0.0,1.0,0.03705332800745964,0.09234046936035156
23,A1K2P5,ED,6,A1K2P5_ED_slice006,7,1,0.2,0.8,0.029770800843834877,0.1369355022907257
23,A1K2P5,ED,6,A1K2P5_ED_slice006,7,2,0.4,0.6,0.02863798476755619,0.14559109508991241
23,A1K2P5,ED,6,A1K2P5_ED_slice006,7,3,0.6,0.4,0.026551617309451103,0.16298966109752655
23,A1K2P5,ED,6,A1K2P5_ED_slice006,7,4,0.8,0.19999999999999996,0.021768126636743546,0.2111358344554901
23,A1K2P5,ED,6,A1K2P5_ED_slice006,7,5,1.0,0.0,0.018571048974990845,0.25100740790367126
23,A1K2P5,ED,7,A1K2P5_ED_slice007,8,0,0.0,1.0,0.06431092321872711,0.13064514100551605
